"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL"
"DJ.Khaled","khaled",16,60,12,0.616570327552986,15.383429672447,60.4677763021986
"DJ.Khaled","another",17,60,10,0.655105973025048,16.344894026975,42.6387914647831
"DJ.Khaled","one",42,60,11,1.61849710982659,40.3815028901734,25.768892974993
"DJ.Khaled","key",26,60,6,1.0019267822736,24.9980732177264,12.5553554076968
"Jay.Z","life",19,69,7,0.842003853564547,18.1579961464355,19.7094267692591
"Jay.Z","talk",23,69,6,1.01926782273603,21.980732177264,12.5356999217407
"Jay.Z","real",15,69,4,0.664739884393064,14.3352601156069,8.53103723705203
"Future","baby",74,183,49,8.69749518304432,65.3025048169557,121.413223477892
"Future","fuck",75,183,48,8.8150289017341,66.1849710982659,114.278026353024
"Future","make",40,183,0,4.70134874759152,35.2986512524085,-10.0006242861749
"Future","mind",68,183,0,7.99229287090559,60.0077071290944,-17.0024613074201
"Drake","free",10,66,5,0.423892100192678,9.57610789980732,18.1788092575694
"Drake","good",11,66,4,0.466281310211946,10.5337186897881,11.4726864115996
"Nas","major",18,66,9,0.763005780346821,17.2369942196532,32.721856663625
"Nas","key",26,66,9,1.10211946050096,24.897880539499,24.8264529897374
"Big.Sean","everything",32,150,23,3.08285163776493,28.9171483622351,71.4336189864995
"Big.Sean","make",40,150,25,3.85356454720617,36.1464354527938,67.1080182758368
"Big.Sean","still",23,150,8,2.21579961464355,20.7842003853565,10.7569642525949
"Big.Sean","baby",74,150,1,7.12909441233141,66.8709055876686,-8.87516911798645
"Big.Sean","nigga",45,150,0,4.33526011560694,40.6647398843931,-9.11496490036804
"J.Cole","better",18,45,6,0.520231213872832,17.4797687861272,20.3155968884194
"J.Cole","say",11,45,4,0.317919075144509,10.6820809248555,14.3408170420021
"J.Cole","ask",8,45,3,0.23121387283237,7.76878612716763,10.9713864327996
"Bryston.Tiller","one",42,63,10,1.69942196531792,40.3005780346821,20.6856242051489
"Bryston.Tiller","see",32,63,8,1.29479768786127,30.7052023121387,17.311236566255
"Bryston.Tiller","last",11,63,4,0.445086705202312,10.5549132947977,11.8167058236864
"Bryston.Tiller","way",11,63,4,0.445086705202312,10.5549132947977,11.8167058236864
"Chris.Brown","mind",68,129,53,5.63391136801541,62.3660886319846,194.848581185741
"Chris.Brown","know",82,129,36,6.79383429672447,75.2061657032755,74.8338014144777
"Chris.Brown","little",9,129,4,0.745664739884393,8.25433526011561,8.42518205037148
"Chris.Brown","like",65,129,0,5.38535645472062,59.6146435452794,-11.241004956706
"Chris.Brown","fuck",75,129,0,6.21387283236994,68.7861271676301,-12.9706969152267
"Rick.Ross","nigga",45,25,5,0.722543352601156,44.2774566473988,11.216460566462
"Jeezy","gotta",18,62,8,0.716763005780347,17.2832369942197,27.6561855513031
"Busta.Rhymes","niggas",40,52,6,1.3359023763648,38.6640976236352,9.2843660508211
"Ken.Jones","pop",8,53,3,0.272318561335902,7.7276814386641,10.0426604124057
"Ken.Jones","lot",9,53,3,0.30635838150289,8.69364161849711,9.23968252827519
"Ken.Jones","start",9,53,3,0.30635838150289,8.69364161849711,9.23968252827519
"Travis.Scott","feel",24,65,14,1.0019267822736,22.9980732177264,57.1832003080867
"Travis.Scott","come",29,65,13,1.2106615285806,27.7893384714194,44.0523042311042
"Travis.Scott","nigga",45,65,11,1.87861271676301,43.121387283237,22.7211740315582
"Travis.Scott","bitch",18,65,6,0.751445086705202,17.2485549132948,16.2224781503341
"Travis.Scott","bitches",20,65,5,0.834938985228003,19.165061014772,10.54718496674
"Mavado","life",19,42,7,0.51252408477842,18.4874759152216,26.2279631164432
"Mavado","man",7,42,3,0.188824662813102,6.8111753371869,12.3351294866214
"All.others","call",27,348,19,6.03468208092486,20.9653179190751,28.1679525487375
"All.others","can",22,348,12,4.91714836223507,17.0828516377649,10.7024685408397
"All.others","night",11,348,7,2.45857418111753,8.54142581888247,8.57953123275634
"All.others","baby",74,348,7,16.5394990366089,57.4605009633911,-8.54393202315362
"All.others","life",19,348,0,4.24662813102119,14.7533718689788,-9.610626913198
"All.others","one",42,348,2,9.38728323699422,32.6127167630058,-10.1493375813263
"All.others","fuck",75,348,5,16.7630057803468,58.2369942196532,-13.6590578720887
"All.others","everything",32,348,0,7.15221579961464,24.8477842003854,-16.1876730055126
